Using kernels flash-attn2 (compute capability (12, 0))
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 20,972,032
  scalars                 : 16
  total                   : 46,137,872
Estimated FLOPs per token: 2.139126e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011469 | lrm: 1.00 | dt: 5565ms | tok/sec: 23,551 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.883111 | lrm: 1.00 | dt: 286ms | tok/sec: 457,848 | mfu: 9.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.554588 | lrm: 1.00 | dt: 293ms | tok/sec: 448,002 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.137233 | lrm: 1.00 | dt: 274ms | tok/sec: 477,635 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.755521 | lrm: 1.00 | dt: 282ms | tok/sec: 464,158 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.441248 | lrm: 1.00 | dt: 293ms | tok/sec: 447,690 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.192334 | lrm: 1.00 | dt: 296ms | tok/sec: 442,746 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.984615 | lrm: 1.00 | dt: 275ms | tok/sec: 476,274 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.810339 | lrm: 1.00 | dt: 284ms | tok/sec: 460,943 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.662765 | lrm: 1.00 | dt: 289ms | tok/sec: 454,195 | mfu: 9.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.534300 | lrm: 1.00 | dt: 296ms | tok/sec: 443,499 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.419629 | lrm: 1.00 | dt: 275ms | tok/sec: 476,104 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.324908 | lrm: 1.00 | dt: 284ms | tok/sec: 460,769 | mfu: 10.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.240835 | lrm: 1.00 | dt: 289ms | tok/sec: 454,303 | mfu: 9.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.164041 | lrm: 1.00 | dt: 296ms | tok/sec: 443,397 | mfu: 9.6% | epoch: 1 | remaining: 299s    
step 00313 (28.7%) | loss: 3.485811 | lrm: 1.00 | dt: 283ms | tok/sec: 463,456 | mfu: 10.0% | epoch: 1 | remaining: 214s    
step 00314 (28.8%) | loss: 3.478450 | lrm: 1.00 | dt: 287ms | tok/sec: 455,937 | mfu: 9.9% | epoch: 1 | remaining: 213s    
step 00315 (28.9%) | loss: 3.470560 | lrm: 1.00 | dt: 295ms | tok/sec: 444,134 | mfu: 9.6% | epoch: 1 | remaining: 213s    
step 00316 (29.0%) | loss: 3.464308 | lrm: 1.00 | dt: 274ms | tok/sec: 478,514 | mfu: 10.3% | epoch: 1 | remaining: 213s    
step 00317 (29.1%) | loss: 3.462708 | lrm: 1.00 | dt: 283ms | tok/sec: 463,587 | mfu: 10.0% | epoch: 1 | remaining: 212s    
step 00318 (29.2%) | loss: 3.454533 | lrm: 1.00 | dt: 288ms | tok/sec: 455,215 | mfu: 9.8% | epoch: 1 | remaining: 212s    
step 00319 (29.3%) | loss: 3.457856 | lrm: 1.00 | dt: 294ms | tok/sec: 445,133 | mfu: 9.6% | epoch: 1 | remaining: 212s    
step 00320 (29.4%) | loss: 3.455987 | lrm: 1.00 | dt: 274ms | tok/sec: 478,256 | mfu: 10.3% | epoch: 1 | remaining: 212s    
step 00321 (29.5%) | loss: 3.455044 | lrm: 1.00 | dt: 283ms | tok/sec: 462,741 | mfu: 10.0% | epoch: 1 | remaining: 211s    
step 00322 (29.6%) | loss: 3.450718 | lrm: 1.00 | dt: 288ms | tok/sec: 455,238 | mfu: 9.8% | epoch: 1 | remaining: 211s    
step 00323 (29.7%) | loss: 3.449874 | lrm: 1.00 | dt: 295ms | tok/sec: 444,356 | mfu: 9.6% | epoch: 1 | remaining: 211s    
step 00324 (29.8%) | loss: 3.453497 | lrm: 1.00 | dt: 274ms | tok/sec: 478,493 | mfu: 10.3% | epoch: 1 | remaining: 210s    
step 00325 (29.9%) | loss: 3.447950 | lrm: 1.00 | dt: 283ms | tok/sec: 462,396 | mfu: 10.0% | epoch: 1 | remaining: 210s    
step 00326 (30.0%) | loss: 3.448732 | lrm: 1.00 | dt: 287ms | tok/sec: 456,135 | mfu: 9.9% | epoch: 1 | remaining: 210s    
step 00327 (30.1%) | loss: 3.440488 | lrm: 1.00 | dt: 295ms | tok/sec: 444,633 | mfu: 9.6% | epoch: 1 | remaining: 210s    
step 00328 (30.2%) | loss: 3.440897 | lrm: 1.00 | dt: 274ms | tok/sec: 478,787 | mfu: 10.4% | epoch: 1 | remaining: 209s    
step 00329 (30.2%) | loss: 3.444216 | lrm: 1.00 | dt: 283ms | tok/sec: 463,517 | mfu: 10.0% | epoch: 1 | remaining: 209s    
step 00330 (30.3%) | loss: 3.445483 | lrm: 1.00 | dt: 288ms | tok/sec: 455,518 | mfu: 9.8% | epoch: 1 | remaining: 209s    
step 00331 (30.4%) | loss: 3.439345 | lrm: 1.00 | dt: 295ms | tok/sec: 444,819 | mfu: 9.6% | epoch: 1 | remaining: 208s    
step 00332 (30.5%) | loss: 3.444088 | lrm: 1.00 | dt: 274ms | tok/sec: 478,748 | mfu: 10.3% | epoch: 1 | remaining: 208s    
step 00333 (30.6%) | loss: 3.442707 | lrm: 1.00 | dt: 283ms | tok/sec: 463,125 | mfu: 10.0% | epoch: 1 | remaining: 208s    
step 00334 (30.7%) | loss: 3.443380 | lrm: 1.00 | dt: 288ms | tok/sec: 455,829 | mfu: 9.9% | epoch: 1 | remaining: 208s    
step 00335 (30.8%) | loss: 3.439194 | lrm: 1.00 | dt: 294ms | tok/sec: 445,221 | mfu: 9.6% | epoch: 1 | remaining: 207s    
step 00336 (30.9%) | loss: 3.434990 | lrm: 1.00 | dt: 274ms | tok/sec: 478,125 | mfu: 10.3% | epoch: 1 | remaining: 207s    
step 00337 (31.0%) | loss: 3.433938 | lrm: 1.00 | dt: 283ms | tok/sec: 463,682 | mfu: 10.0% | epoch: 1 | remaining: 207s    
step 00338 (31.1%) | loss: 3.436449 | lrm: 1.00 | dt: 288ms | tok/sec: 455,867 | mfu: 9.9% | epoch: 1 | remaining: 206s    
step 00339 (31.2%) | loss: 3.431790 | lrm: 1.00 | dt: 294ms | tok/sec: 445,131 | mfu: 9.6% | epoch: 1 | remaining: 206s    
step 00340 (31.3%) | loss: 3.428369 | lrm: 1.00 | dt: 275ms | tok/sec: 477,451 | mfu: 10.3% | epoch: 1 | remaining: 206s    
step 00341 (31.4%) | loss: 3.424395 | lrm: 1.00 | dt: 283ms | tok/sec: 462,919 | mfu: 10.0% | epoch: 1 | remaining: 206s    
step 00342 (31.5%) | loss: 3.429704 | lrm: 1.00 | dt: 287ms | tok/sec: 456,145 | mfu: 9.9% | epoch: 1 | remaining: 205s    
step 00343 (31.6%) | loss: 3.434363 | lrm: 1.00 | dt: 295ms | tok/sec: 443,868 | mfu: 9.6% | epoch: 1 | remaining: 205s    
step 00344 (31.7%) | loss: 3.439369 | lrm: 1.00 | dt: 274ms | tok/sec: 478,117 | mfu: 10.3% | epoch: 1 | remaining: 205s    
step 00345 (31.8%) | loss: 3.436492 | lrm: 1.00 | dt: 283ms | tok/sec: 462,855 | mfu: 10.0% | epoch: 1 | remaining: 204s    
step 00346 (31.9%) | loss: 3.429172 | lrm: 1.00 | dt: 287ms | tok/sec: 456,657 | mfu: 9.9% | epoch: 1 | remaining: 204s    
step 00347 (32.0%) | loss: 3.435459 | lrm: 1.00 | dt: 295ms | tok/sec: 445,062 | mfu: 9.6% | epoch: 1 | remaining: 204s    
step 00348 (32.1%) | loss: 3.436605 | lrm: 1.00 | dt: 275ms | tok/sec: 477,461 | mfu: 10.3% | epoch: 1 | remaining: 204s    
step 00349 (32.1%) | loss: 3.431164 | lrm: 1.00 | dt: 283ms | tok/sec: 462,915 | mfu: 10.0% | epoch: 1 | remaining: 203s    
step 00350 (32.2%) | loss: 3.429291 | lrm: 1.00 | dt: 287ms | tok/sec: 456,281 | mfu: 9.9% | epoch: 1 | remaining: 203s    
step 00351 (32.3%) | loss: 3.427977 | lrm: 1.00 | dt: 295ms | tok/sec: 444,383 | mfu: 9.6% | epoch: 1 | remaining: 203s    
step 00352 (32.4%) | loss: 3.431126 | lrm: 1.00 | dt: 274ms | tok/sec: 478,743 | mfu: 10.3% | epoch: 1 | remaining: 202s    
step 00353 (32.5%) | loss: 3.430108 | lrm: 1.00 | dt: 283ms | tok/sec: 462,633 | mfu: 10.0% | epoch: 1 | remaining: 202s    
step 00354 (32.6%) | loss: 3.422422 | lrm: 1.00 | dt: 288ms | tok/sec: 455,791 | mfu: 9.9% | epoch: 1 | remaining: 202s    
step 00355 (32.7%) | loss: 3.418820 | lrm: 1.00 | dt: 295ms | tok/sec: 444,781 | mfu: 9.6% | epoch: 1 | remaining: 202s    
step 00356 (32.8%) | loss: 3.419303 | lrm: 1.00 | dt: 274ms | tok/sec: 477,930 | mfu: 10.3% | epoch: 1 | remaining: 201s    
step 00357 (32.9%) | loss: 3.422092 | lrm: 1.00 | dt: 283ms | tok/sec: 462,707 | mfu: 10.0% | epoch: 1 | remaining: 201s    
step 00358 (33.0%) | loss: 3.414169 | lrm: 1.00 | dt: 288ms | tok/sec: 455,437 | mfu: 9.8% | epoch: 1 | remaining: 201s    
step 00359 (33.1%) | loss: 3.411415 | lrm: 1.00 | dt: 295ms | tok/sec: 444,761 | mfu: 9.6% | epoch: 1 | remaining: 200s    
step 00360 (33.2%) | loss: 3.407580 | lrm: 1.00 | dt: 275ms | tok/sec: 477,264 | mfu: 10.3% | epoch: 1 | remaining: 200s    
step 00361 (33.3%) | loss: 3.405322 | lrm: 1.00 | dt: 284ms | tok/sec: 462,195 | mfu: 10.0% | epoch: 1 | remaining: 200s    
step 00362 (33.4%) | loss: 3.405358 | lrm: 1.00 | dt: 287ms | tok/sec: 456,180 | mfu: 9.9% | epoch: 1 | remaining: 200s    
step 00363 (33.5%) | loss: 3.406355 | lrm: 1.00 | dt: 295ms | tok/sec: 444,564 | mfu: 9.6% | epoch: 1 | remaining: 199s    
step 00364 (33.6%) | loss: 3.412712 | lrm: 1.00 | dt: 274ms | tok/sec: 478,678 | mfu: 10.3% | epoch: 1 | remaining: 199s    
step 00365 (33.7%) | loss: 3.408269 | lrm: 1.00 | dt: 283ms | tok/sec: 463,742 | mfu: 10.0% | epoch: 1 | remaining: 199s    
step 00366 (33.8%) | loss: 3.405790 | lrm: 1.00 | dt: 287ms | tok/sec: 456,003 | mfu: 9.9% | epoch: 1 | remaining: 198s    
step 00367 (33.9%) | loss: 3.402868 | lrm: 1.00 | dt: 295ms | tok/sec: 444,418 | mfu: 9.6% | epoch: 1 | remaining: 198s    
step 00368 (34.0%) | loss: 3.403508 | lrm: 1.00 | dt: 274ms | tok/sec: 477,502 | mfu: 10.3% | epoch: 1 | remaining: 198s    
step 00369 (34.0%) | loss: 3.397146 | lrm: 1.00 | dt: 283ms | tok/sec: 463,117 | mfu: 10.0% | epoch: 1 | remaining: 198s    
step 00370 (34.1%) | loss: 3.389666 | lrm: 1.00 | dt: 288ms | tok/sec: 455,630 | mfu: 9.8% | epoch: 1 | remaining: 197s    
step 00371 (34.2%) | loss: 3.392431 | lrm: 1.00 | dt: 295ms | tok/sec: 444,923 | mfu: 9.6% | epoch: 1 | remaining: 197s    
step 00372 (34.3%) | loss: 3.392222 | lrm: 1.00 | dt: 273ms | tok/sec: 479,362 | mfu: 10.4% | epoch: 1 | remaining: 197s    
step 00373 (34.4%) | loss: 3.396627 | lrm: 1.00 | dt: 283ms | tok/sec: 463,149 | mfu: 10.0% | epoch: 1 | remaining: 196s    
step 00374 (34.5%) | loss: 3.395540 | lrm: 1.00 | dt: 288ms | tok/sec: 455,458 | mfu: 9.8% | epoch: 1 | remaining: 196s    
step 00375 (34.6%) | loss: 3.401126 | lrm: 1.00 | dt: 295ms | tok/sec: 444,457 | mfu: 9.6% | epoch: 1 | remaining: 196s    
step 00376 (34.7%) | loss: 3.401223 | lrm: 1.00 | dt: 274ms | tok/sec: 478,805 | mfu: 10.4% | epoch: 1 | remaining: 196s    
step 00377 (34.8%) | loss: 3.397803 | lrm: 1.00 | dt: 283ms | tok/sec: 463,612 | mfu: 10.0% | epoch: 1 | remaining: 195s    
step 00378 (34.9%) | loss: 3.398444 | lrm: 1.00 | dt: 287ms | tok/sec: 456,348 | mfu: 9.9% | epoch: 1 | remaining: 195s    
step 00379 (35.0%) | loss: 3.396731 | lrm: 1.00 | dt: 295ms | tok/sec: 444,270 | mfu: 9.6% | epoch: 1 | remaining: 195s    
step 00380 (35.1%) | loss: 3.396863 | lrm: 1.00 | dt: 274ms | tok/sec: 478,548 | mfu: 10.3% | epoch: 1 | remaining: 194s    
step 00381 (35.2%) | loss: 3.401351 | lrm: 1.00 | dt: 283ms | tok/sec: 462,576 | mfu: 10.0% | epoch: 1 | remaining: 194s    
step 00382 (35.3%) | loss: 3.403147 | lrm: 1.00 | dt: 287ms | tok/sec: 456,044 | mfu: 9.9% | epoch: 1 | remaining: 194s    
step 00383 (35.4%) | loss: 3.403669 | lrm: 1.00 | dt: 295ms | tok/sec: 444,451 | mfu: 9.6% | epoch: 1 | remaining: 194s    
step 00384 (35.5%) | loss: 3.402755 | lrm: 1.00 | dt: 274ms | tok/sec: 477,886 | mfu: 10.3% | epoch: 1 | remaining: 193s    
step 00385 (35.6%) | loss: 3.406852 | lrm: 1.00 | dt: 283ms | tok/sec: 462,734 | mfu: 10.0% | epoch: 1 | remaining: 193s    
step 00386 (35.7%) | loss: 3.408876 | lrm: 1.00 | dt: 288ms | tok/sec: 455,130 | mfu: 9.8% | epoch: 1 | remaining: 193s    
step 00387 (35.8%) | loss: 3.410909 | lrm: 1.00 | dt: 294ms | tok/sec: 445,351 | mfu: 9.6% | epoch: 1 | remaining: 192s    
step 00388 (35.9%) | loss: 3.402075 | lrm: 1.00 | dt: 274ms | tok/sec: 477,723 | mfu: 10.3% | epoch: 1 | remaining: 192s    
step 00389 (35.9%) | loss: 3.399732 | lrm: 1.00 | dt: 283ms | tok/sec: 463,044 | mfu: 10.0% | epoch: 1 | remaining: 192s    
step 00390 (36.0%) | loss: 3.398113 | lrm: 1.00 | dt: 288ms | tok/sec: 455,862 | mfu: 9.9% | epoch: 1 | remaining: 192s    
step 00391 (36.1%) | loss: 3.391422 | lrm: 1.00 | dt: 295ms | tok/sec: 444,801 | mfu: 9.6% | epoch: 1 | remaining: 191s    
step 00392 (36.2%) | loss: 3.392455 | lrm: 1.00 | dt: 274ms | tok/sec: 478,829 | mfu: 10.4% | epoch: 1 | remaining: 191s    
step 00393 (36.3%) | loss: 3.390271 | lrm: 1.00 | dt: 283ms | tok/sec: 463,335 | mfu: 10.0% | epoch: 1 | remaining: 191s    
step 00394 (36.4%) | loss: 3.392012 | lrm: 1.00 | dt: 287ms | tok/sec: 456,012 | mfu: 9.9% | epoch: 1 | remaining: 190s    
step 00395 (36.5%) | loss: 3.393855 | lrm: 1.00 | dt: 295ms | tok/sec: 444,665 | mfu: 9.6% | epoch: 1 | remaining: 190s    
step 00396 (36.6%) | loss: 3.392087 | lrm: 1.00 | dt: 274ms | tok/sec: 479,080 | mfu: 10.4% | epoch: 1 | remaining: 190s    
step 00397 (36.7%) | loss: 3.386934 | lrm: 1.00 | dt: 283ms | tok/sec: 462,727 | mfu: 10.0% | epoch: 1 | remaining: 190s    
step 00398 (36.8%) | loss: 3.382707 | lrm: 1.00 | dt: 288ms | tok/sec: 455,240 | mfu: 9.8% | epoch: 1 | remaining: 189s    
step 00399 (36.9%) | loss: 3.383391 | lrm: 1.00 | dt: 295ms | tok/sec: 444,360 | mfu: 9.6% | epoch: 1 | remaining: 189s    
step 00400 (37.0%) | loss: 3.386392 | lrm: 1.00 | dt: 274ms | tok/sec: 477,925 | mfu: 10.3% | epoch: 1 | remaining: 189s    
step 00401 (37.1%) | loss: 3.381744 | lrm: 1.00 | dt: 283ms | tok/sec: 463,072 | mfu: 10.0% | epoch: 1 | remaining: 188s    
step 00402 (37.2%) | loss: 3.379812 | lrm: 1.00 | dt: 288ms | tok/sec: 454,813 | mfu: 9.8% | epoch: 1 | remaining: 188s    
step 00403 (37.3%) | loss: 3.381895 | lrm: 1.00 | dt: 295ms | tok/sec: 444,336 | mfu: 9.6% | epoch: 1 | remaining: 188s    
step 00404 (37.4%) | loss: 3.384638 | lrm: 1.00 | dt: 274ms | tok/sec: 478,158 | mfu: 10.3% | epoch: 1 | remaining: 188s    
step 00405 (37.5%) | loss: 3.379553 | lrm: 1.00 | dt: 283ms | tok/sec: 462,955 | mfu: 10.0% | epoch: 1 | remaining: 187s    
step 00406 (37.6%) | loss: 3.368841 | lrm: 1.00 | dt: 287ms | tok/sec: 456,337 | mfu: 9.9% | epoch: 1 | remaining: 187s    
step 00407 (37.7%) | loss: 3.368862 | lrm: 1.00 | dt: 295ms | tok/sec: 443,790 | mfu: 9.6% | epoch: 1 | remaining: 187s    
step 00408 (37.7%) | loss: 3.365390 | lrm: 1.00 | dt: 274ms | tok/sec: 478,157 | mfu: 10.3% | epoch: 1 | remaining: 186s    
step 00409 (37.8%) | loss: 3.362233 | lrm: 1.00 | dt: 283ms | tok/sec: 463,487 | mfu: 10.0% | epoch: 1 | remaining: 186s    
step 00410 (37.9%) | loss: 3.360926 | lrm: 1.00 | dt: 288ms | tok/sec: 455,819 | mfu: 9.9% | epoch: 1 | remaining: 186s    
step 00411 (38.0%) | loss: 3.360200 | lrm: 1.00 | dt: 295ms | tok/sec: 444,267 | mfu: 9.6% | epoch: 1 | remaining: 186s    
step 00412 (38.1%) | loss: 3.357494 | lrm: 1.00 | dt: 274ms | tok/sec: 477,639 | mfu: 10.3% | epoch: 1 | remaining: 185s    
step 00413 (38.2%) | loss: 3.355158 | lrm: 1.00 | dt: 283ms | tok/sec: 463,526 | mfu: 10.0% | epoch: 1 | remaining: 185s    
step 00414 (38.3%) | loss: 3.355533 | lrm: 1.00 | dt: 288ms | tok/sec: 454,869 | mfu: 9.8% | epoch: 1 | remaining: 185s    
step 00415 (38.4%) | loss: 3.357791 | lrm: 1.00 | dt: 295ms | tok/sec: 444,111 | mfu: 9.6% | epoch: 1 | remaining: 184s    
step 00416 (38.5%) | loss: 3.350760 | lrm: 1.00 | dt: 274ms | tok/sec: 477,542 | mfu: 10.3% | epoch: 1 | remaining: 184s    
step 00417 (38.6%) | loss: 3.339016 | lrm: 1.00 | dt: 283ms | tok/sec: 462,530 | mfu: 10.0% | epoch: 1 | remaining: 184s    
step 00418 (38.7%) | loss: 3.332391 | lrm: 1.00 | dt: 288ms | tok/sec: 455,064 | mfu: 9.8% | epoch: 1 | remaining: 184s    
step 00419 (38.8%) | loss: 3.327845 | lrm: 1.00 | dt: 295ms | tok/sec: 444,638 | mfu: 9.6% | epoch: 1 | remaining: 183s    
step 00420 (38.9%) | loss: 3.327231 | lrm: 1.00 | dt: 275ms | tok/sec: 477,306 | mfu: 10.3% | epoch: 1 | remaining: 183s    
step 00421 (39.0%) | loss: 3.325424 | lrm: 1.00 | dt: 284ms | tok/sec: 462,220 | mfu: 10.0% | epoch: 1 | remaining: 183s    
step 00422 (39.1%) | loss: 3.323522 | lrm: 1.00 | dt: 288ms | tok/sec: 455,462 | mfu: 9.8% | epoch: 1 | remaining: 182s    
step 00423 (39.2%) | loss: 3.333284 | lrm: 1.00 | dt: 296ms | tok/sec: 443,409 | mfu: 9.6% | epoch: 1 | remaining: 182s    
step 00424 (39.3%) | loss: 3.329838 | lrm: 1.00 | dt: 274ms | tok/sec: 478,078 | mfu: 10.3% | epoch: 1 | remaining: 182s    
step 00425 (39.4%) | loss: 3.331495 | lrm: 1.00 | dt: 283ms | tok/sec: 463,590 | mfu: 10.0% | epoch: 1 | remaining: 182s    
step 00426 (39.5%) | loss: 3.334483 | lrm: 1.00 | dt: 288ms | tok/sec: 454,797 | mfu: 9.8% | epoch: 1 | remaining: 181s    
step 00427 (39.6%) | loss: 3.338484 | lrm: 1.00 | dt: 295ms | tok/sec: 444,098 | mfu: 9.6% | epoch: 1 | remaining: 181s    
step 00428 (39.7%) | loss: 3.339861 | lrm: 1.00 | dt: 275ms | tok/sec: 477,351 | mfu: 10.3% | epoch: 1 | remaining: 181s    
step 00429 (39.7%) | loss: 3.336411 | lrm: 1.00 | dt: 284ms | tok/sec: 462,331 | mfu: 10.0% | epoch: 1 | remaining: 180s    
step 00430 (39.8%) | loss: 3.334062 | lrm: 1.00 | dt: 288ms | tok/sec: 455,661 | mfu: 9.9% | epoch: 1 | remaining: 180s    
step 00431 (39.9%) | loss: 3.331825 | lrm: 1.00 | dt: 295ms | tok/sec: 444,600 | mfu: 9.6% | epoch: 1 | remaining: 180s    
step 00432 (40.0%) | loss: 3.337606 | lrm: 1.00 | dt: 275ms | tok/sec: 477,409 | mfu: 10.3% | epoch: 1 | remaining: 180s    
step 00433 (40.1%) | loss: 3.335979 | lrm: 1.00 | dt: 284ms | tok/sec: 462,009 | mfu: 10.0% | epoch: 1 | remaining: 179s    
step 00434 (40.2%) | loss: 3.342274 | lrm: 1.00 | dt: 288ms | tok/sec: 455,624 | mfu: 9.8% | epoch: 1 | remaining: 179s    
step 00435 (40.3%) | loss: 3.340704 | lrm: 1.00 | dt: 295ms | tok/sec: 444,016 | mfu: 9.6% | epoch: 1 | remaining: 179s    
step 00436 (40.4%) | loss: 3.346322 | lrm: 1.00 | dt: 275ms | tok/sec: 477,463 | mfu: 10.3% | epoch: 1 | remaining: 178s    
step 00437 (40.5%) | loss: 3.341924 | lrm: 1.00 | dt: 282ms | tok/sec: 463,998 | mfu: 10.0% | epoch: 1 | remaining: 178s    
step 00438 (40.6%) | loss: 3.337115 | lrm: 1.00 | dt: 287ms | tok/sec: 456,007 | mfu: 9.9% | epoch: 1 | remaining: 178s    
step 00439 (40.7%) | loss: 3.332511 | lrm: 1.00 | dt: 295ms | tok/sec: 443,943 | mfu: 9.6% | epoch: 1 | remaining: 178s    
step 00440 (40.8%) | loss: 3.335902 | lrm: 1.00 | dt: 274ms | tok/sec: 477,791 | mfu: 10.3% | epoch: 1 | remaining: 177s    
step 00441 (40.9%) | loss: 3.334600 | lrm: 1.00 | dt: 283ms | tok/sec: 462,651 | mfu: 10.0% | epoch: 1 | remaining: 177s    
step 00442 (41.0%) | loss: 3.335282 | lrm: 1.00 | dt: 288ms | tok/sec: 455,600 | mfu: 9.8% | epoch: 1 | remaining: 177s    
step 00443 (41.1%) | loss: 3.336757 | lrm: 1.00 | dt: 295ms | tok/sec: 444,144 | mfu: 9.6% | epoch: 1 | remaining: 176s    
step 00444 (41.2%) | loss: 3.334759 | lrm: 1.00 | dt: 275ms | tok/sec: 477,106 | mfu: 10.3% | epoch: 1 | remaining: 176s    
step 00445 (41.3%) | loss: 3.332952 | lrm: 1.00 | dt: 283ms | tok/sec: 463,371 | mfu: 10.0% | epoch: 1 | remaining: 176s    
step 00446 (41.4%) | loss: 3.335669 | lrm: 1.00 | dt: 288ms | tok/sec: 455,340 | mfu: 9.8% | epoch: 1 | remaining: 176s    
step 00447 (41.5%) | loss: 3.337653 | lrm: 1.00 | dt: 295ms | tok/sec: 444,283 | mfu: 9.6% | epoch: 1 | remaining: 175s    
step 00448 (41.6%) | loss: 3.343317 | lrm: 1.00 | dt: 274ms | tok/sec: 478,242 | mfu: 10.3% | epoch: 1 | remaining: 175s    
step 00449 (41.6%) | loss: 3.345458 | lrm: 1.00 | dt: 284ms | tok/sec: 461,997 | mfu: 10.0% | epoch: 1 | remaining: 175s    
step 00450 (41.7%) | loss: 3.343316 | lrm: 1.00 | dt: 288ms | tok/sec: 455,438 | mfu: 9.8% | epoch: 1 | remaining: 175s    
step 00451 (41.8%) | loss: 3.347203 | lrm: 1.00 | dt: 296ms | tok/sec: 442,782 | mfu: 9.6% | epoch: 1 | remaining: 174s    
step 00452 (41.9%) | loss: 3.341471 | lrm: 1.00 | dt: 274ms | tok/sec: 477,733 | mfu: 10.3% | epoch: 1 | remaining: 174s    
step 00453 (42.0%) | loss: 3.347570 | lrm: 1.00 | dt: 284ms | tok/sec: 461,723 | mfu: 10.0% | epoch: 1 | remaining: 174s    
step 00454 (42.1%) | loss: 3.339697 | lrm: 1.00 | dt: 288ms | tok/sec: 455,579 | mfu: 9.8% | epoch: 1 | remaining: 173s    
step 00455 (42.2%) | loss: 3.341008 | lrm: 1.00 | dt: 295ms | tok/sec: 444,986 | mfu: 9.6% | epoch: 1 | remaining: 173s    
step 00456 (42.3%) | loss: 3.348335 | lrm: 1.00 | dt: 273ms | tok/sec: 480,797 | mfu: 10.4% | epoch: 1 | remaining: 173s    
step 00457 (42.4%) | loss: 3.347769 | lrm: 1.00 | dt: 282ms | tok/sec: 464,352 | mfu: 10.0% | epoch: 1 | remaining: 173s    
step 00458 (42.5%) | loss: 3.341893 | lrm: 1.00 | dt: 287ms | tok/sec: 456,553 | mfu: 9.9% | epoch: 1 | remaining: 172s    
step 00459 (42.6%) | loss: 3.337154 | lrm: 1.00 | dt: 188ms | tok/sec: 696,011 | mfu: 15.0% | epoch: 1 | remaining: 172s    
step 00460 (42.7%) | loss: 3.343233 | lrm: 1.00 | dt: 222ms | tok/sec: 589,690 | mfu: 12.7% | epoch: 1 | remaining: 172s    
step 00461 (42.7%) | loss: 3.348395 | lrm: 1.00 | dt: 265ms | tok/sec: 495,508 | mfu: 10.7% | epoch: 1 | remaining: 172s    
step 00462 (42.8%) | loss: 3.347867 | lrm: 1.00 | dt: 266ms | tok/sec: 492,477 | mfu: 10.6% | epoch: 1 | remaining: 171s    
step 00463 (42.9%) | loss: 3.349604 | lrm: 1.00 | dt: 266ms | tok/sec: 493,252 | mfu: 10.7% | epoch: 1 | remaining: 171s    
step 00464 (43.0%) | loss: 3.352027 | lrm: 1.00 | dt: 266ms | tok/sec: 492,235 | mfu: 10.6% | epoch: 1 | remaining: 171s    
step 00465 (43.1%) | loss: 3.347488 | lrm: 1.00 | dt: 266ms | tok/sec: 492,727 | mfu: 10.7% | epoch: 1 | remaining: 170s    
step 00466 (43.2%) | loss: 3.349929 | lrm: 1.00 | dt: 266ms | tok/sec: 492,186 | mfu: 10.6% | epoch: 1 | remaining: 170s    
step 00467 (43.3%) | loss: 3.341524 | lrm: 1.00 | dt: 265ms | tok/sec: 494,093 | mfu: 10.7% | epoch: 1 | remaining: 170s    
step 00468 (43.3%) | loss: 3.334713 | lrm: 1.00 | dt: 252ms | tok/sec: 519,416 | mfu: 11.2% | epoch: 1 | remaining: 170s    
step 00469 (43.4%) | loss: 3.333485 | lrm: 1.00 | dt: 263ms | tok/sec: 498,691 | mfu: 10.8% | epoch: 1 | remaining: 169s    
step 00470 (43.5%) | loss: 3.334539 | lrm: 1.00 | dt: 266ms | tok/sec: 492,068 | mfu: 10.6% | epoch: 1 | remaining: 169s    
